name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Perry, NY",11/1/2021,11.5,4.7,8.3,11.5,1.6,6.8,1.3,62.8,0.96,100,37.5,rain,0,0,47.9,33,284.9,1018.3,72.6,16,86.4,7.5,4,,2021-11-01T07:46:22,2021-11-01T18:04:14,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",11/2/2021,8.1,3.3,5.5,5.6,1.3,3.3,0.3,70.1,1.38,100,20.83,rain,1.9,0.6,44.1,23.1,245.8,1022.2,88.4,15.7,77,6.7,5,,2021-11-02T07:47:37,2021-11-02T18:02:57,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72529014768,KGVQ,E7794,KROC,E6481,KBUF,72498894704,KDSV"
"Perry, NY",11/3/2021,7.4,1.4,3.9,5.1,-1.2,2,-0.7,73.3,0.34,100,8.33,rain,1.2,2.2,35.3,16,257,1025.3,84.7,15.8,73,6.5,4,,2021-11-03T07:48:53,2021-11-03T18:01:42,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"72529014768,KGVQ,E7794,KROC,E6481,KBUF,72498894704,KDSV"
"Perry, NY",11/4/2021,7.3,1.2,4,6.6,-1.4,2.9,-0.8,72.3,0.12,100,12.5,rain,0,0.2,,11.4,209.4,1027.2,88.3,16,73,6.2,4,,2021-11-04T07:50:09,2021-11-04T18:00:28,1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72529014768,KGVQ,E7794,KROC,E6481,KBUF,72498894704,KDSV"
"Perry, NY",11/5/2021,7.8,-1.3,2.6,7.2,-3.3,1.7,-1.6,75.6,0,0,0,,0,0,,9.9,241,1029.5,27.3,15.9,62.9,5.5,3,,2021-11-05T07:51:26,2021-11-05T17:59:16,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",11/6/2021,12.2,-1.7,3.6,12.2,-5.7,1.4,-2.6,66.8,0,0,0,,0,0,,14.7,166.8,1027.9,7.6,16,100.8,8.7,4,,2021-11-06T07:52:42,2021-11-06T17:58:05,0.02,Clear,Clear conditions throughout the day.,clear-day,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",11/7/2021,15.9,0.4,6.8,15.9,-3.3,4.9,-0.1,63.6,0,0,0,,0,0,42.5,16.2,217.3,1022.6,5.6,16,92.3,8.5,4,,2021-11-07T06:53:58,2021-11-07T16:56:56,0.05,Clear,Clear conditions throughout the day.,clear-day,"72529014768,KGVQ,E7794,KROC,KBUF,72498894704,KDSV"
"Perry, NY",11/8/2021,20.6,3.1,10.5,20.6,0.7,9.6,4.6,70,0,0,0,,0,0,37.1,14.2,211.9,1021.8,0.7,15.9,95,8.2,4,,2021-11-08T06:55:15,2021-11-08T16:55:49,0.09,Clear,Clear conditions throughout the day.,clear-day,"72529014768,KGVQ,E7794,KROC,E6481,KBUF,72498894704,KDSV"
"Perry, NY",11/9/2021,16.2,6.8,11,16.2,5.2,10.2,6.9,76.7,1.58,100,12.5,rain,0,0,,17.2,221.7,1020,68.2,14.8,69.4,5.9,4,,2021-11-09T06:56:31,2021-11-09T16:54:43,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72529014768,KGVQ,E7794,KROC,E6481,KBUF,72498894704,KDSV"
"Perry, NY",11/10/2021,12.9,2.9,8.4,12.9,1.4,7.7,3.3,73.1,2.26,100,20.83,rain,0,0,,11.3,285.9,1022.6,46.7,14.4,94.6,8.3,4,,2021-11-10T06:57:47,2021-11-10T16:53:40,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72529014768,KGVQ,E7794,KROC,KBUF,F7363,72498894704,KDSV"
